approach,f1,std
bl_assessment_based_last,0.3152056864034019,0.022649851682992002
bl_assessment_based_all,0.3556092601469704,0.030278078345514933
bl_user_based_last,0.41850361801731756,0.08488347480000302
bl_user_based_all,0.5856424958182423,0.0574498564508322
average_user,0.9741130874671388,0.008881233786034445
answer_cut,0.9741748023231183,0.00947941440727229
time_cut,0.9949328743545611,0.01013425129087775
user_wise,,
