approach,f1,std,val-mean
average_user,0.6398533194238734,0.04693962728000189,0.7249831042286623
user_cut,0.6727714248288788,0.014229965223210673,0.7680445218343828
time_cut,0.6753782516009567,0.005379621451351495,0.7756989903591787
user_wise,0.7319405081896508,0.0,
bl_user_based_last,,,
bl_user_based_all,,,
bl_assessment_based_last,,,
bl_assessment_based_all,,,
