approach,f1,std,val-mean
bl_assessment_based_all,0.18671123113561625,0.0028340790792173334,
bl_user_based_all,0.18986521066439077,0.0030694383440999715,
bl_assessment_based_last,0.20515787911640984,0.002692084793021973,
bl_user_based_last,0.24964711127099823,0.0034049429374687023,
user_wise,0.34164687137726435,0.06666666666666667,
average_user,0.40569581778109953,0.03777928493684347,0.4597337106071251
user_cut,0.5626107590004865,0.022502290559711598,0.548773038710562
time_cut,0.5726238448387916,0.0024761188831014793,0.5870462784072257
