approach,f1,std,val-mean
bl_assessment_based_last,0.3134099138466827,0.012970909939273932,
bl_assessment_based_all,0.3165092596635912,0.011073975544990877,
user_wise,0.5315114698262389,0.0,
user_cut,0.6308515221892445,0.0374873292381105,0.6579585299600818
average_user,0.6419942823878296,0.03785711344101287,0.6672566761880594
time_cut,0.6423429984476572,0.01231131000570457,0.6986715909271671
bl_user_based_last,0.671352043917892,0.008048318185686165,
bl_user_based_all,0.6982994375086824,0.005675707194031125,
