approach,f1,std,val-mean
bl_assessment_based_all,0.2331538948260567,0.02179962722768198,
bl_assessment_based_last,0.2875133725052077,0.039695635527725495,
bl_user_based_last,0.6264798077194902,0.02822112165393893,
bl_user_based_all,0.6870088854438468,0.03699827189305526,
time_cut,0.9788788111880871,0.013564378357591523,0.9932178108212042
average_user,0.9817146189099021,0.00712392083184963,0.9942873422873422
user_cut,0.9856610003668829,0.0,1.0
user_wise,,,
